NAME,TYPE,STATUS,RATING,PHONE NO.,ADDRESS,LINK
Laposys Laptop Service Center,Computer repair service,Functioning,4.3,,"No.16,shop no :B04 YSJ Complex ,Narasingapuram Street, Rich Street, Ritchie St, Mount Road, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Laposys+Laptop+Service+Center/data=!4m7!3m6!1s0x3a526617ca98f39d:0xf01c974b17b24724!8m2!3d13.069049!4d80.2710851!16s%2Fg%2F11c6t8258h!19sChIJnfOYyhdmUjoRJEeyF0uXHPA?authuser=0&hl=en&rclk=1
Infinity,Computer service,Functioning,4.6,099436 77050,"1st floor shop, Shah Complex, #24, #8, Narasingapuram St, Ritchie St, Mount Road, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Infinity/data=!4m7!3m6!1s0x3a5266034fc48be1:0x106d2b042d60645a!8m2!3d13.0697242!4d80.2712353!16s%2Fg%2F11cn0rzn43!19sChIJ4YvETwNmUjoRWmRgLQQrbRA?authuser=0&hl=en&rclk=1
Service,Electronics store,Not Specified,Not Specified,No Specified,"37CC+HQ8, Ritchie St, Mount Road, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Service/data=!4m7!3m6!1s0x3a52678a3abaf2c5:0x38cd48e422addd93!8m2!3d13.0714059!4d80.2719384!16s%2Fg%2F11h1pl6680!19sChIJxfK6OopnUjoRk92tIuRIzTg?authuser=0&hl=en&rclk=1
Laptech,Computer repair service,Functioning,4.8,095140 01133,"No.835/4,Indira Market, First floor, Anna Salai, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Laptech/data=!4m7!3m6!1s0x3a52661c8537904d:0x3991f8eaf536314e!8m2!3d13.0686724!4d80.2716977!16s%2Fg%2F11f01tr3zq!19sChIJTZA3hRxmUjoRTjE29er4kTk?authuser=0&hl=en&rclk=1
Tallent Computer service,Computer repair service,Functioning,4.0,095661 41303,"no.4/5 shop, Mount Road, No.12B, Narasingapuram St, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Tallent+Computer+service/data=!4m7!3m6!1s0x3a5267d1ac54d299:0xccb3c579a1db2e02!8m2!3d13.0693173!4d80.2712253!16s%2Fg%2F1v8hzvsq!19sChIJmdJUrNFnUjoRAi7boXnFs8w?authuser=0&hl=en&rclk=1
ITSERVICE,Computer repair service,Functioning,4.3,089392 66430,"73, Singanna Chetty St, Chindatripet, Anna Salai, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/ITSERVICE/data=!4m7!3m6!1s0x3a52673c1938707d:0x5076fb8836388aaa!8m2!3d13.0706514!4d80.2704826!16s%2Fg%2F11b7l3gw58!19sChIJfXA4GTxnUjoRqoo4Noj7dlA?authuser=0&hl=en&rclk=1
PRABU COMPUTER SERVICE,Computer repair service,Functioning,3.7,072991 62277,"Usmankhan St, Mount Road, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/PRABU+COMPUTER+SERVICE/data=!4m7!3m6!1s0x3a52671882b52dbb:0xa836e8c8d6cb5c27!8m2!3d13.0707084!4d80.2708621!16s%2Fg%2F11fl07t925!19sChIJuy21ghhnUjoRJ1zL1sjoNqg?authuser=0&hl=en&rclk=1
Laser Computer Clinic,Computer service,Functioning,3.3,097105 84899,"No: 2/5 , Gee Gee Electronic Arcade, 2nd Floor, Narasingapuram Street, Mount Road, Anna Salai,, (INDIAN BANK BUILDING), Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Laser+Computer+Clinic/data=!4m7!3m6!1s0x3a52661ca1d33e4f:0xffad56f42543bb46!8m2!3d13.0701344!4d80.2723908!16s%2Fg%2F1tt1r37q!19sChIJTz7ToRxmUjoRRrtDJfRWrf8?authuser=0&hl=en&rclk=1
Resolve Point Laptop and Desktop Service Center,Computer repair service,Functioning,5.0,No Specified,"Electronics Arcade, Shop No.12, 1st Floor, Electronic Complex, opposite Gee Gee Complex, Mount Road, Narasingapuram, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Resolve+Point+Laptop+and+Desktop+Service+Center/data=!4m7!3m6!1s0x3a5267490af9e993:0xb8fe5a1e5544606b!8m2!3d13.0693854!4d80.2710149!16s%2Fg%2F11l65_8p_4!19sChIJk-n5CklnUjoRa2BEVR5a_rg?authuser=0&hl=en&rclk=1
Micro Saravana Computer,Computer repair service,Functioning,4.1,098403 66663,"Namdi Trade Centre, 8, Narasingapuram St, Mount Road, Anna Salai, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Micro+Saravana+Computer/data=!4m7!3m6!1s0x3a52670c5e4eaaab:0x3160356fc5a8877a!8m2!3d13.0682448!4d80.2708828!16s%2Fg%2F11smqng9ff!19sChIJq6pOXgxnUjoReoeoxW81YDE?authuser=0&hl=en&rclk=1
Raj Laptop Service,Computer service,Functioning,4.6,044 4213 1737,"Shah Complex, Shop No.F-8, F7, First Floor, No.24, No.71, Ritchi Street, Anna Salai, Narasingapuram St, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Raj+Laptop+Service/data=!4m7!3m6!1s0x3a52661b58bcbdad:0x16e456f7e0fe9a8d!8m2!3d13.0700673!4d80.270506!16s%2Fg%2F1pxwl3d37!19sChIJrb28WBtmUjoRjZr-4PdW5BY?authuser=0&hl=en&rclk=1
RE Engineers,Computer repair service,Functioning,2.8,089393 33387,"Ground Floor, KAJ Plaza, Anna Salai, Mount Road, Chintadripet, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/RE+Engineers/data=!4m7!3m6!1s0x3a52661c9c4c0001:0x60f6f51202dc3844!8m2!3d13.0688876!4d80.2713548!16s%2Fg%2F11ggh5r5wf!19sChIJAQBMnBxmUjoRRDjcAhL19mA?authuser=0&hl=en&rclk=1
GREEN CHIP,Computer service,Functioning,4.9,099624 05734,"NO.8 NAMBI TRADE CENTER, 2nd Floor, NARASHINGAPURAM STREET, Ritchie St, Mount Road, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/GREEN+CHIP/data=!4m7!3m6!1s0x3a5267a053f86743:0xe4b0422635ab1a88!8m2!3d13.0682534!4d80.2709187!16s%2Fg%2F11gy1lhbvp!19sChIJQ2f4U6BnUjoRiBqrNSZCsOQ?authuser=0&hl=en&rclk=1
