NAME,TYPE,STATUS,RATING,PHONE NO.,ADDRESS,LINK
AR AYURVEDA VAIDYA SALA,Ayurvedic clinic,Functioning,4.9,089394 72196,"1&2, Pillayar kovil St, MCN Nagar Extension, Thoraipakkam, Tamil Nadu 600097",https://www.google.com/maps/place/AR+AYURVEDA+VAIDYA+SALA/data=!4m7!3m6!1s0x3a525cfe975539ab:0xa4a7ba974d8dd8db!8m2!3d12.9488435!4d80.2376155!16s%2Fg%2F11rd54w7p3!19sChIJqzlVl_5cUjoR29iNTZe6p6Q?authuser=0&hl=en&rclk=1
Shree Kriya Ayurveda And Panchakarma Vaidya Sala,Hospital,Functioning,4.8,,"No.49, 5th Cross St, Kumaran Kudil, Mettukuppam, Annexe, Thoraipakkam, Tamil Nadu 600097",https://www.google.com/maps/place/Shree+Kriya+Ayurveda+And+Panchakarma+Vaidya+Sala/data=!4m7!3m6!1s0x3a525dd034c04aa5:0x924bfe1e543c98b6!8m2!3d12.939547!4d80.241639!16s%2Fg%2F11ns3tjjf8!19sChIJpUrANNBdUjoRtpg8VB7-S5I?authuser=0&hl=en&rclk=1
Punarjani Organic Ayurvedic Health Care,Alternative medicine practitioner,Not Specified,Not Specified,073586 36614,"No: 2/156, MCN Nagar, State Bank Colony 2nd Street, near Sangeetha Hotel Backside, Thoraipakkam, Tamil Nadu 600097",https://www.google.com/maps/place/Punarjani+Organic+Ayurvedic+Health+Care/data=!4m7!3m6!1s0x3a525cfe2016ab5b:0xc98035c418c174f1!8m2!3d12.9441334!4d80.2362496!16s%2Fg%2F11cm083n_y!19sChIJW6sWIP5cUjoR8XTBGMQ1gMk?authuser=0&hl=en&rclk=1
Dr. Girija Sanjeevani Ayurvedic center,Alternative medicine practitioner,Not Specified,5.0,044 6565 7588,"88c, East Coast Rd, Injambakkam, Chennai, Tamil Nadu 600041",https://www.google.com/maps/place/Dr.+Girija+Sanjeevani+Ayurvedic+center/data=!4m7!3m6!1s0x3a525d67e0d274f3:0x6860476d8ada7b69!8m2!3d12.9121007!4d80.2489628!16s%2Fg%2F11rns645s2!19sChIJ83TS4GddUjoRaXvaim1HYGg?authuser=0&hl=en&rclk=1
SNM siddha speciality clinic,Ayurvedic clinic,Functioning,5.0,077088 37196,"150, Raju Nagar 3rd St, NJK Avenue, Thoraipakkam, Tamil Nadu 600097",https://www.google.com/maps/place/SNM+siddha+speciality+clinic/data=!4m7!3m6!1s0x3a525d58901b8c1f:0x7ada66e5b13244d2!8m2!3d12.9333739!4d80.2344828!16s%2Fg%2F11jt0dfp_p!19sChIJH4wbkFhdUjoR0kQyseVm2no?authuser=0&hl=en&rclk=1
Sukahalaya Siddha Ayurveda and Unani Clinic,Health consultant,Functioning,4.8,,"No 1 Ground floor, Murugesan Nagar OMR ECR Link Road, near Saraswathi Marriage hall, Neelankarai, Chennai, Tamil Nadu 600076",https://www.google.com/maps/place/Sukahalaya+Siddha+Ayurveda+and+Unani+Clinic/data=!4m7!3m6!1s0x3a525d32dcb1aa53:0x662726f9da373185!8m2!3d12.9506024!4d80.2440155!16s%2Fg%2F11h3yhdrrp!19sChIJU6qx3DJdUjoRhTE32vkmJ2Y?authuser=0&hl=en&rclk=1
Tamilcholai Ayurveda Clinic,Medical clinic,Functioning,5.0,094448 54933,"Shop No. 48, 4, 1st Main Rd, Thirumalai Nagar Annexe, Perungudi, Chennai, Tamil Nadu 600096",https://www.google.com/maps/place/Tamilcholai+Ayurveda+Clinic/data=!4m7!3m6!1s0x3a525d11c62aa651:0xca61f2da506ee2c7!8m2!3d12.9594595!4d80.2445039!16s%2Fg%2F1ptw89qgj!19sChIJUaYqxhFdUjoRx-JuUNryYco?authuser=0&hl=en&rclk=1
ALM AYUSH Health & Wellness Centres,Ayurvedic clinic,Functioning,4.5,098847 78855,"1st Floor, 50, Rajiv Gandhi Salai, Karapakkam, Chennai, Tamil Nadu 600097",https://www.google.com/maps/place/ALM+AYUSH+Health+%26+Wellness+Centres/data=!4m7!3m6!1s0x3a525da275e2c135:0x96d852943f43f3c2!8m2!3d12.9187327!4d80.2301543!16s%2Fg%2F11pvcgvmfd!19sChIJNcHidaJdUjoRwvNDP5RS2JY?authuser=0&hl=en&rclk=1
JN ayurvedic treatments and cure,Hospital,Functioning,5.0,No Specified,"Karapakkam, Chennai, Tamil Nadu 600097",https://www.google.com/maps/place/JN+ayurvedic+treatments+and+cure/data=!4m7!3m6!1s0x3a525d7ab31981d5:0xd6cdd3d96d58dfd6!8m2!3d12.9156241!4d80.229958!16s%2Fg%2F11fct1kjsx!19sChIJ1YEZs3pdUjoR1t9YbdnTzdY?authuser=0&hl=en&rclk=1
Kottakkal Arya Vaidya Sala Karapakkam,Ayurvedic clinic,Functioning,4.8,090030 23298,"Ground floor, After Hot Chips Restaurant, Natesan Avenue, 1/413, OMR, adjacent road to Aravind Theatre, Karapakkam, Chennai, Tamil Nadu 600097",https://www.google.com/maps/place/Kottakkal+Arya+Vaidya+Sala+Karapakkam/data=!4m7!3m6!1s0x3a525d77ac1662a5:0x7182b8248497bd99!8m2!3d12.9156111!4d80.2299634!16s%2Fg%2F11g040wbsp!19sChIJpWIWrHddUjoRmb2XhCS4gnE?authuser=0&hl=en&rclk=1
Psoriasis Treatment in Chennai,Hospital,Functioning,Not Specified,No Specified,"5, 395, Rajiv Gandhi Salai, Nedunchezian Salai, Indira Nagar, Thoraipakkam, Tamil Nadu 600057",https://www.google.com/maps/place/Psoriasis+Treatment+in+Chennai/data=!4m7!3m6!1s0x3a525d30c945b17b:0xf8e228cd3c481ff0!8m2!3d12.930476!4d80.231302!16s%2Fg%2F11qt0qvb2p!19sChIJe7FFyTBdUjoR8B9IPM0o4vg?authuser=0&hl=en&rclk=1
Sanjeevani Ayurveda Vaidyasala (hospital),Alternative medicine practitioner,Functioning,4.3,095000 71332,"No. 1/341, Gangaiamman Koil St, Injambakkam, Chennai, Tamil Nadu 600115",https://www.google.com/maps/place/Sanjeevani+Ayurveda+Vaidyasala+%28hospital%29/data=!4m7!3m6!1s0x3a525b9d4518c57f:0xdefd112508ed14a!8m2!3d12.9120468!4d80.2489894!16s%2Fg%2F11bcdhvsz2!19sChIJf8UYRZ1bUjoRStGOUBLR7w0?authuser=0&hl=en&rclk=1
Kottakkal Ayurvaidya Kendram,Alternative medicine practitioner,Functioning,Not Specified,No Specified,"X65V+MC5, 2nd Main Rd, Phase-2, Thirumalai Nagar Annexe, Perungudi, Chennai, Tamil Nadu 600096",https://www.google.com/maps/place/Kottakkal+Ayurvaidya+Kendram/data=!4m7!3m6!1s0x3a525d11d6b6f657:0x1146c5c8c5a80e1d!8m2!3d12.959136!4d80.2436032!16s%2Fg%2F11c2l8kyfk!19sChIJV_a21hFdUjoRHQ6oxcjFRhE?authuser=0&hl=en&rclk=1
